stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
6842,6842,FM 1960 RD @ SUGAR PINE DR,,30.009382,-95.459198,,,,,0
6844,6844,FM 1960 RD @ ELLA BLVD,,30.014016,-95.450769,,,,,0
6845,6845,FM 1960 RD @ ELLA BLVD,,30.013773,-95.451706,,,,,0
6846,6846,ROARK RD @ WILCREST DR,,29.648486,-95.565506,,,,,0
6848,6848,ROARK RD @ BELLFORT AVE,ROARK RD & BELLFORT ST,29.653697,-95.563263,,,,,0
6849,6849,ROARK RD @ BELLFORT AVE,ROARK RD & BELLFORT ST,29.65368,-95.563418,,,,,0
6850,6850,BELLFORT AVE @ BELLFORT VILLAGE DR,,29.652536,-95.560514,,,,,0
6851,6851,BELLFORT AVE @ KEEGANS RIDGE RD,,29.652546,-95.557613,,,,,0
6852,6852,BELLFORT AVE @ DOVER,,29.652595,-95.555702,,,,,0
6853,6853,BELLFORT AVE @ CHESSINGTON DR,,29.65286,-95.551659,,,,,0
6854,6854,BELLFORT AVE @ STANWOOD DR,,29.655584,-95.545648,,,,,0
6855,6855,BELLFORT AVE @ PLAINFIELD ST,,29.656181,-95.542625,,,,,0
6856,6856,BELLFORT AVE @ GATLINBURG DR,,29.656214,-95.539084,,,,,0
6857,6857,BELLFORT AVE @ WESTBRAE PKWY,,29.656218,-95.534378,,,,,0
6858,6858,BELLFORT AVE @ WESTBRAE PKWY,,29.655906,-95.530807,,,,,0
6859,6859,W. BELLFORT ST @ GESSNER RD,,29.655558,-95.528388,,,,,0
6860,6860,BELLFORT AVE @ BRAES PARK DR,,29.655567,-95.523812,,,,,0
6861,6861,BELLFORT AVE @ BRAES FOREST DR,,29.655498,-95.520599,,,,,0
6862,6862,BELLFORT AVE @ PEMBRIDGE DR,,29.655515,-95.51707,,,,,0
6863,6863,BELLFORT AVE @ KITTY BROOK DR,,29.655661,-95.514603,,,,,0
6864,6864,BELLFORT AVE @ BRAESRIDGE DR,,29.655877,-95.51113,,,,,0
6865,6865,BELLFORT AVE @ LARKWOOD DR,,29.655904,-95.507378,,,,,0
6866,6866,BELLFORT ST @ LARKWOOD DR,,29.655909,-95.504714,,,,,0
6867,6867,BELLFORT AVE @ SANDPIPER DR,,29.656006,-95.502936,,,,,0
6868,6868,BELLFORT ST @ BOB WHITE DR,,29.656522,-95.501007,,,,,0
6869,6869,BELLFORT AVE @ ALBURY DR,,29.656989,-95.497612,,,,,0
6870,6870,BELLFORT AVE @ KIRKSIDE DR,,29.657017,-95.495003,,,,,0
6871,6871,W. BELLFORT AVE @ HILLCROFT AVE,,29.657043,-95.492401,,,,,0
6872,6872,BELLFORT AVE @ RAMPART ST,,29.657083,-95.489624,,,,,0
6873,6873,BELLFORT AVE @ MULLINS DR,,29.657123,-95.486122,,,,,0
6874,6874,BELLFORT AVE @ BURDINE ST,,29.657408,-95.481568,,,,,0
6875,6875,BELLFORT AVE @ CHECKERBOARD ST,,29.658117,-95.478943,,,,,0
6876,6876,BELLFORT AVE @ CHIMNEY ROCK RD,,29.659071,-95.476806,,,,,0
6877,6877,BELLFORT AVE @ STARKRIDGE DR,,29.660724,-95.474396,,,,,0
6878,6878,BELLFORT AVE @ BRIARBEND DR,,29.663089,-95.471855,,,,,0
6879,6879,BELLFORT AVE @ WILLOWBEND BLVD,,29.665484,-95.469269,,,,,0
6880,6880,BELLFORT AVE @ BALMFORTH LN,,29.668315,-95.466248,,,,,0
6881,6881,BELLFORT ST @ LOOP,,29.670379,-95.462845,,,,,0
6882,6882,BELLFORT ST @ LOOP,,29.670679,-95.46283,,,,,0
6883,6883,BELLFORT AVE @ BALMFORTH LN,,29.668851,-95.466118,,,,,0
6884,6884,BELLFORT AVE @ WILLOWBEND BLVD,,29.66599,-95.46917,,,,,0
6885,6885,BELLFORT AVE @ BRIARBEND DR,,29.663439,-95.471885,,,,,0
6886,6886,BELLFORT AVE @ MOONLIGHT DR,,29.661077,-95.474419,,,,,0
6887,6887,BELLFORT AVE @ CHIMNEY ROCK RD,,29.659836,-95.476097,,,,,0
6888,6888,BELLFORT AVE @ CHECKERBOARD ST,,29.658452,-95.478813,,,,,0
6889,6889,BELLFORT AVE @ BURDINE ST,,29.657704,-95.481438,,,,,0
6890,6890,BELLFORT AVE @ MULLINS DR,,29.657383,-95.486931,,,,,0
6891,6891,BELLFORT AVE @ RAMPART ST,,29.657349,-95.489403,,,,,0
6892,6892,BELLFORT AVE @ HILLCROFT AVE,,29.657327,-95.491707,,,,,0
6893,6893,BELLFORT AVE @ KIRKSIDE DR,,29.657295,-95.494774,,,,,0
6894,6894,BELLFORT AVE @ ALBURY DR,,29.657254,-95.497749,,,,,0
6895,6895,BELLFORT ST @ BOB WHITE DR,,29.656866,-95.500735,,,,,0
6896,6896,BELLFORT AVE @ SANDPIPER DR,,29.656199,-95.503181,,,,,0
6897,6897,BELLFORT ST @ LARKWOOD DR,,29.656147,-95.504975,,,,,0
6898,6898,BELLFORT AVE @ FONDREN RD,,29.656117,-95.50795,,,,,0
6899,6899,BELLFORT AVE @ BRAESRIDGE DR,,29.656102,-95.510586,,,,,0
6900,6900,BELLFORT AVE @ KITTY BROOK DR,,29.655976,-95.514045,,,,,0
6901,6901,BELLFORT AVE @ PEMBRIDGE DR,,29.655739,-95.516755,,,,,0
6902,6902,BELLFORT AVE @ BRAES FOREST DR,,29.655738,-95.520309,,,,,0
6903,6903,BELLFORT AVE @ BRAES PARK DR,,29.655749,-95.523483,,,,,0
6904,6904,BELLFORT AVE @ GESSNER RD,,29.655795,-95.527802,,,,,0
6905,6905,BELLFORT AVE @ GESSNER RD,,29.656119,-95.530769,,,,,0
6906,6906,BELLFORT AVE @ WESTBRAE PKWY,,29.656455,-95.533219,,,,,0
6907,6907,WESTBRAE PKWY @ GESSNER RD,,29.662867,-95.528717,,,,,0
6908,6908,WESTBRAE PKWY @ RANIER DR,,29.663167,-95.531456,,,,,0
6909,6909,WESTBRAE PKWY @ OFFER DR,,29.663062,-95.534047,,,,,0
6910,6910,WESTBRAE PKWY @ VICKIJOHN DR,,29.66094,-95.53463,,,,,0
6911,6911,WESTBRAE PKWY @ W BELLFORT AVE,,29.656773,-95.533677,,,,,0
6912,6912,BELLFORT AVE @ GATLINBURG DR,,29.656435,-95.538597,,,,,0
6913,6913,BELLFORT AVE @ STANWOOD DR,,29.655908,-95.545479,,,,,0
6914,6914,BELLFORT AVE @ CHESSINGTON DR,,29.653169,-95.551483,,,,,0
6915,6915,BELLFORT AVE @ DOVER,,29.652814,-95.555443,,,,,0
6916,6916,BELLFORT AVE @ KEEGANS RIDGE RD,,29.652772,-95.55735,,,,,0
6917,6917,BELLFORT AVE @ BELLFORT VILLAGE DR,,29.652741,-95.5601,,,,,0
6918,6918,GESSNER RD @ BREEZE ST,,29.657485,-95.527848,,,,,0
6919,6919,GESSNER RD @ NORTHERN ST,,29.660031,-95.527885,,,,,0
6920,6920,GESSNER RD @ WESTBRAE PKWY,,29.662585,-95.527924,,,,,0
6921,6921,GESSNER RD @ CREEKBEND DR,,29.664681,-95.527949,,,,,0
6922,6922,GESSNER RD @ TWIN HILLS DR,,29.667422,-95.528022,,,,,0
6923,6923,GUSTINE LN @ GESSNER RD,,29.669737,-95.5289,,,,,0
6924,6924,GUSTINE LN @ SAPLING WAY,,29.66923,-95.532074,,,,,0
6925,6925,SAPLING WAY @ BRAESWOOD BLVD,,29.67098,-95.53228,,,,,0
6926,6926,SAPLING WAY @ GUSTINE LN,,29.669722,-95.532394,,,,,0
6927,6927,GUSTINE LN @ GESSNER RD,,29.669621,-95.528366,,,,,0
6928,6928,GESSNER RD @ TWIN HILLS DR,,29.667731,-95.528274,,,,,0
6929,6929,GESSNER RD @ WILLOW MEADOW DR,,29.665127,-95.528229,,,,,0
6930,6930,FONDREN MEADOW DR @ GESSNER RD,,29.649177,-95.527153,,,,,0
6931,6931,FONDREN MEADOW DR @ FONDREN LAKE DR,,29.647791,-95.522705,,,,,0
6932,6932,FONDREN MEADOW DR @ ERIN DR,,29.64416,-95.521378,,,,,0
6933,6933,FONDREN MEADOW DR @ AIRPORT BLVD,,29.642376,-95.521331,,,,,0
6934,6934,AIRPORT BLVD @ SEASWEPT DR,,29.641645,-95.524422,,,,,0
